identifier,trip_id,speed_avg,speed_urban_avg,speed_highway_avg,speed_rural_avg,acc_avg,acc_urban,acc_highway,acc_rural,duration,duration_urban,duration_highway,duration_rural,duration_driving,duration_driving_urban,duration_driving_highway,duration_driving_rural,distance_total,distance_urban,distance_highway,distance_rural,obd_fuel_consumption
ecodriver043,91EF7E24-52EA-4024-B287-39ED8164A736,29.70498617511524,30.00155935027076,0.0,26.197241379310377,1.6949010989010989,1.6329056603773588,0.0,2.123478260869565,586.0,534.0,0.0,52.0,372.0,343.0,0.0,29.0,3.187202453294532,2.9243390538593403,0.0,0.2628633994351909,8.146577831617202
ecodriver043,94329D8F-1EF8-4A3E-9B38-81EA6AB42C41,30.913392724157013,32.82295112781953,0.0,27.056211629715783,1.447730168750211,1.5685814536340854,0.0,1.2509152190821875,1318.0,733.0,0.0,585.0,909.0,608.0,0.0,301.0,7.582259559382804,5.519673412739758,0.0,2.0625861466430395,8.96012115093387
ecodriver043,94C24B81-8290-4636-8706-F941E13D961B,41.01729641290048,37.83126050420172,0.0,43.79486617945837,1.560545568561873,1.3789230311530452,0.0,1.707422924901186,2096.0,947.0,0.0,1149.0,1533.0,714.0,0.0,819.0,17.358882953905347,7.536057173376278,0.0,9.822825780529056,7.75018385472648
ecodriver043,96FA65E2-B9CA-4866-885F-DA846A5587BA,30.010979878787893,28.91401618497112,0.0,31.87151633986929,1.5180141843971633,1.6312204724409451,0.0,1.347869822485207,1067.0,631.0,0.0,436.0,825.0,519.0,0.0,306.0,6.882445802201016,4.223214212672714,0.0,2.6592315895283023,8.86256600542315
ecodriver043,97E29863-7ECA-4D1B-8EB6-6A66A5E39597,31.109751078761352,32.29422558799972,0.0,29.61481601439498,1.4220759493670887,1.4850217286335103,0.0,1.344549509366637,1108.0,612.0,0.0,496.0,794.0,443.0,0.0,351.0,6.86441995710598,3.989150552207169,0.0,2.87526940489882,8.793397837222539
ecodriver043,992F0A88-3049-4586-9A0F-D6A89F41A239,30.561241497422948,31.55983277591972,0.0,27.50672699849168,1.2596107821177625,1.1762274655355252,0.0,1.512849002849003,1146.0,844.0,0.0,302.0,828.0,624.0,0.0,204.0,7.044024709906446,5.422460928100954,0.0,1.621563781805489,8.456952724247886
ecodriver043,9B56A645-1CE3-4721-B5F3-DDDB07364259,52.43848313324768,30.67373596100876,96.4993700787402,50.53869222922611,1.219423515981735,0.9784383202099736,1.1444776119402986,1.582959183673469,1465.0,778.0,254.0,433.0,1084.0,484.0,254.0,346.0,15.693354372531244,4.113332708833506,6.814905027048105,4.765116636649626,7.368026019514636
ecodriver043,9CBD84A1-DED7-4920-B7AE-2DDA7D2BE186,31.03370453181558,31.65407702523234,0.0,29.335011849841663,1.274948364888124,1.3061538461538464,0.0,1.1962727272727272,1379.0,934.0,0.0,445.0,1028.0,753.0,0.0,275.0,8.549730937106794,6.484561785765703,0.0,2.065169151341101,8.677225072496096
ecodriver043,A2D79488-25BA-4BBB-B94A-2B9C2BAF8BC7,27.626558441558466,27.79214480342548,0.0,25.53103448275865,1.5685308056872036,1.46125,0.0,2.652631578947369,948.0,892.0,0.0,56.0,396.0,367.0,0.0,29.0,3.226357735424178,2.912692416758326,0.0,0.3136653186658514,9.449052132701423
ecodriver043,A83D8686-8C6D-46BD-A360-D665680B5199,33.98780840096968,28.631715626283444,0.0,39.515224008516256,1.557086535248914,1.481718103913226,0.0,1.6440691182986265,2130.0,1164.0,0.0,966.0,1207.0,613.0,0.0,594.0,11.230729261607827,4.843317878983198,0.0,6.387411382624628,8.168087081258964
