count;frame;lane;on_the_fly;over;Veh_ TypeM;Vm;Veh_ Type1;Veh_RL;V1;Veh_ Type0;Veh_ Type2;Veh_ Type3;platoon;sum_ platoon;d0;d1;d2;d3;opening;s_x;s_y;distancexy;V2;V3;helmet;passenger;dif;ttc;ttcc
125;18390;1;1;1;1;100;3;1;82;2;0;3;0;0;57.8;255;44.3;255;258.8;2.6;8.5;8.9;0;110;1;0;18;0.772222222;0.772222222
126;18640;0;1;1;1;95;3;0;105;0;2;0;0;0;255;255;255;255;360.6;1.9;3;3.6;70;0;1;0;-10;-0.86;0
127;18765;1;0;1;1;88;2;1;65;1;1;1;0;0;12.2;32;19.3;2.8;19.5;2.1;1.2;2.4;74;76;1;0;23;0.32173913;0.32173913
128;19090;1;0;0;1;58;1;0;51;1;0;1;0;0;8.1;255;15.6;0.6;15.6;2.4;3.4;4.2;0;80;1;0;7;1.314285714;1.314285714
129;20965;0;0;1;1;75;2;1;51;0;1;0;0;0;255;255;255;255;360.6;1.1;4.6;4.7;56;0;1;0;24;0.404166667;0.404166667
130;21390;1;0;1;0;68;1;1;52;0;1;1;0;0;255;93.3;70.1;1.4;70.1;0.8;6.9;6.9;51;81;1;0;16;0.74375;0.74375
131;21590;1;1;0;0;92;1;0;82;1;2;1;0;0;20.4;41.6;18.2;255;255.6;3.1;2.8;4.2;92;74;1;0;10;0.92;0.92
132;21640;1;1;0;1;92;1;0;74;1;2;2;0;0;19.3;21.6;2.3;0.8;2.4;2.1;3.3;3.9;84;84;1;0;18;0.494444444;0.494444444
133;21890;1;0;0;0;95;1;1;93;0;0;1;0;0;255;255;1.1;1.6;1.9;0.4;7.7;7.7;0;82;0;0;2;6.35;6.35
134;22015;0;1;0;1;92;1;1;82;0;0;0;0;0;255;255;255;255;360.6;2.9;1.7;3.4;0;0;1;0;10;0.84;0.84
135;22090;0;0;1;0;96;1;0;68;1;0;3;0;0;17.5;255;20.4;0.8;20.4;1.3;4.8;5;0;95;1;0;28;0.357142857;0.357142857
136;22140;0;1;1;1;91;1;1;70;2;0;0;0;0;35.7;255;255;255;360.6;2.9;5;5.8;0;0;1;0;21;0.514285714;0.514285714
137;22565;0;1;0;0;87;1;1;86;1;1;1;0;0;28.8;55.4;5;1.1;5.1;1.9;10.4;10.6;89;62;1;0;1;15.6;15.6
138;22715;0;1;0;0;74;1;1;71;0;1;1;0;0;255;40.2;11.5;255;255.3;3.1;2.3;3.9;75;75;1;0;3;2.966666667;2.966666667
